name,manufacturer,price,salt_name,strength
Somezol 40mg,Bosch,Rs 225,Esomeprazole,40mg
Sporanox,Janssen,Rs 640,Itraconazole,100mg
Synigan 5ml,Barrett,"Rs 1,000",,
Sartan H 50/12.5mg,Barrett,Rs 320,Hydrochlorothiazide.,
SeaMega Softgel Cap 30's,Wilson's,"Rs 1,300",,
S-Gliptin,Barrett,Rs 840,,
ScabFree Lotion,Atco,Rs 146,,
Spectrazole,Pharma Health,Rs 139,,
Simva,Nabi Qasim,Rs 500,,
Seroft,Pharmatec,Rs 692,Sertraline,100 mg
Spasrid,Barrett,Rs 112,Phloroglucinol and Trimethylphloroglucinol,
Stiemazol,GlaxoSmithKline,Rs 115,Clotrimazole,
Sofvasc HCT,Wilson's,Rs 247,Hydrochlorothiazide..,5mg
Santomet 0.1% 20ml,Sante,Rs 210,"Mometasone, topical",
Simvazaf,Zafa,Rs 141,Simvastatin,10mg
Spadix,Tabroos,Rs 120,Phloroglucinol,80mg
S-Gliptin Plus,Barrett,Rs 240,,
Scipride,Scilife,Rs 196,,
Sitagen-M,Ferozsons,Rs 246,Metformin,50mg
Sitagen-M,Ferozsons,Rs 200,Metformin,50mg
Sita-Met XR,CCL,Rs 363,Metformin,100mg
Scipride,Scilife,Rs 261,Levosulpiride,50 mg
Solo,Pharma Health,Rs 300,,
Sonotic,Brookes,Rs 650,Nalbuphine,20mg
Sustac,Searle,Rs 289,Glyceryl Trinitrate,2.6mg
Sita-Met XR 50/1000mg,CCL,Rs 353,Metformin,50mg
Spasfon,Himont,Rs 862,Phloroglucinol and Trimethylphloroglucinol,
Skin A cream,Atco,Rs 166,"Tretinoin, topical",0.05%
Sunny D Insta 5mg,Scotman,Rs 220,Cholecalciferol,200000IU
Sunny D Absorba Liquid,Scotman,Rs 280,Cholecalciferol,1000IU
Sante,Macter,Rs 196,Omeprazole,40mg
Sante,Macter,Rs 155,Omeprazole,20mg
Sofvasc-HCT 10mg/320mg/25mg,Wilson's,Rs 309,Valsartan+Amlodipine+Hydrochlorothiazide,
Sofvasc-HTC 10mg/160mg/25mg,Wilson's,Rs 270,Valsartan+Amlodipine+Hydrochlorothiazide,
Sokast,Saffron,Rs 320,Montelukast,4 mg
Sokast,Saffron,Rs 380,Montelukast,10 mg
Solo,Atco,Rs 401,Montelukast,4 mg
Solo,Atco,Rs 396,Montelukast,10 mg
Sontel,Schazoo Pharmaceuticals,Rs 746,Montelukast,4 mg
Sontel,Schazoo Pharmaceuticals,Rs 250,Montelukast,10 mg
Sontel,Schazoo Pharmaceuticals,Rs 124,Montelukast,5 mg
Surbex Z,Abbott Laboratories,Rs 681,Multivitamins with Zinc,
Sensicon,Barrett,Rs 230,Atorvastatin calcium trihydrate,10 mg
Santomet,Sante,Rs 163,"Mometasone Furoate, topical",0.1%
Sensival,Pharmadic,Rs 56,,
Sita-Met XR,CCL,Rs 314,Metformin,50mg
Simbrinza,Novartis,"Rs 1,189",,
Savesto 50,Getz Pharma,Rs 650,Sacubitril,24 mg
S-Gliptin 50mg,Barrett,Rs 380,Sitagliptin,
Sofhep,Aspin Pharma,"Rs 5,868",Sofosbuvir,400 mg
Sofvel,Aspin Pharma,"Rs 10,000",Sofosbuvir,400
Silo-M,Macter,Rs 253,,
Sozole-20,Dawaai,Rs 330,,
Sunny D Drops,Scotman,Rs 340,Cholecalciferol,400IU
Sunny D,Scotman,Rs 900,Cholecalciferol,10000IU
Syngab,Atco,Rs 202,Pregabalin.,25mg
Scitide HFA Inhaler,Scilife,Rs 370,,
S.T. Mom,Zafa,Rs 181,Misoprostol,200mcg
Sutent,Pfizer,"Rs 134,560",Sunitinib,12.5mg
Solosin SR,High-Q,Rs 391,Tamsulosin HCl,0.4 mg
Sacvin,Pharm Evo,"Rs 1,660",Sacubitril,49
Sita Met,CCL,Rs 568,Metformin,50mg
Staars,Horizon Pharma,Rs 400,Rosuvastatin calcium,20mg
Suprox,Platinum,Rs 210,Ciprofloxacin,250mg
Solu-Cortef,Pfizer,Rs 192,Hydrocortisone Sodium Succinate,100mg
Silorap,Getz Pharma,Rs 293,Silodosin,4 mg
Silorap,Getz Pharma,Rs 958,Silodosin,8 mg
Seacal Sachets,Wilson's,Rs 34,,
Silimarin,Amson,Rs 123,Silymarin,200 mg
Sitaformin,Titlis Pharma,Rs 193,Metformin,50
Sitaformin,Titlis Pharma,Rs 188,Metformin,50
Simvazaf,Zafa,Rs 250,Simvastatin,20 mg
Starcox,Getz Pharma,Rs 175,Etoricoxib,90 mg
Starcox,Getz Pharma,Rs 210,Etoricoxib,120 mg
Synflex,Martin Dow,Rs 228,"Naproxen, oral",550 mg
Solvocef,Platinum,Rs 368,Cephalexin,500 mg
Stresam,Genetics Pharmaceuticals,Rs 406,Etifoxine,50 mg
Seradep,Barrett,Rs 285,Escitalopram,20 mg
Sofohil,Hilton,"Rs 2,976",Sofosbuvir,400 mg
Sitagen-M XR,Ferozsons,Rs 285,Metformin,50 mg
Sunlex Max,Derm Care,Rs 850,,
Somelinz,Linz,Rs 283,Esomeprazole,40 mg
Sopral,Bryon,Rs 266,Bisoprolol Fumarate,10 mg
Serrafast,Hirani's Pharma,Rs 150,Serratiopeptidase,15 mg
Symbidow,Martin Dow,Rs 183,Budesonide,400 mcg
Sitaglu - Met XR,Hilton,Rs 285,Metformin,50 mg
Sitaglu - Met XR,Hilton,Rs 366,Metformin,100 mg
Sitaglu - Met XR,Hilton,Rs 281,Metformin,50 mg
Sitaphage,Martin Dow,Rs 223,Metformin,50 mg
Sitaphage,Martin Dow,Rs 213,Metformin,50 mg
S.R.D,Seraph,Rs 198,Cinitapride,1 mg
Sitagen,Ferozsons,Rs 356,Sitagliptin,50 mg
Scabion Forte,Atco,Rs 304,Crotamiton,
Sedil,Sami,Rs 69,Cetirizine,10 mg
Selanz,Searle,Rs 200,Lansoprazole,30 mg
Somno Melatonin,Highnoon,Rs 399,,
Sivab,Getz Pharma,Rs 223,Ivabradine,7.5 mg
Serosa,Swansea Pharmaceuticals,Rs 247,Sertraline,50 mg
Swanvit,Swansea Pharmaceuticals,Rs 240,Vitamin C,
Sertazol,Hudson Pharma's,Rs 367,,
Sedil,Sami,Rs 164,Cetirizine,5 mg
Sunny - D,Scotmann,Rs 310,,
Sita,CCL,Rs 381,Sitagliptin,100 mg
Sita,CCL,Rs 245,Sitagliptin,50 mg
Silliver Syrup 120 ml,Abbott Laboratories,Rs 124,,
Sacvin,Pharm Evo,Rs 411,,
Sar-k Plus,Saffron,Rs 176,,
Safepram,Martin Dow,Rs 307,,
Safepram,Martin Dow,Rs 413,,
Spin-Air Inhaler (Dry Powder Inhaler Device),Macter,Rs 700,,
Sarcol,Novins,Rs 140,Losartan Potassium,50 mg
Selcarb,Alianze,Rs 824,,
Savesto,Getz Pharma,Rs 475,,
"Sunny D 5,000 IU 60s",Scotman,Rs 232,Cholecalciferol,5000 IU
Smart Flamingo Soft Collar - 2037 - Medium,Smart Flamingo,"Rs 1,600",,
Softin,Werick,Rs 95,Loratadine,10mg
Somogel 20gm,Abbott Laboratories,Rs 104,Lignocaine,
Serenace,Searle,Rs 46,Haloperidol,5 mg
Softin,Werick,Rs 78,Loratadine,5mg
Senergy-OD,Highnoon,Rs 50,Loratadine,1mg
"SCABION (Crotamiton,Sulphur) 20GM CREAM",Atco,Rs 54,Crotamiton,
Sopral,Bryon,Rs 48,Bisoprolol,2.5mg
Semi Metcon,Efroze,Rs 40,Glibenclamide,1.25mg
Steady,Byron,Rs 35,Glimepiride,1mg
Seizunil,Platinum,Rs 121,Carbamazepine,100mg
Skelgesic,Werick,Rs 87,Tizanidine,2mg
Sevia,Sami,Rs 95,Valsartan,40mg
Santirol,Sante,Rs 58,Dexamethasone,0.1%
Steribiol,Remington,Rs 70,Dexamethasone,0.1%
Septran Ds,GlaxoSmithKline,Rs 91,Co-Trimoxazole,480mg
Septran,GlaxoSmithKline,Rs 62,Co-Trimoxazole,240mg
Steridex,Kobec,Rs 67,Dexamethasone,0.10%
Slorit,Hirani's Pharma,Rs 80,Desloratadine,0.5mg|ml
SurTablet,Akhai,Rs 60,Cetirizine,10mg
Synalar-C,Mass-PH Health,Rs 97,Fluocinolone,0.00025
Sefoban,Himont,Rs 94,Cefotaxime,250mg
Sporonil,Global-Vision,Rs 43,Cefotaxime,250mg
Sporonil,Global-Vision,Rs 81,Cefotaxime,500mg
Satsin,Bryon,Rs 100,Ceftazidime,250mg
Snare,CCL,Rs 166,Ceftriaxone,250mg
Seloxx,Efroze,Rs 97,Celecoxib,100mg
Sofac-P,Saffron,Rs 63,Diclofenac potassium,50mg
Spon-K,Davis Pharma,Rs 43,Diclofenac potassium,50mg
Sofac,Saffron,Rs 31,Diclofenac Sodium,75mg|3ml
Spectrazole G,Mass-PH Health,Rs 92,Clotrimazole,
Silimarin,Amson,Rs 92,Silymarin,100mg
Sangobion 120ml,Martin Dow,Rs 117,,
Serenace,Searle,Rs 68,Haloperidol,1.5mg
Sepidyl Topical,Aspin Pharma,Rs 60,,
Sepidyl Topical,Aspin Pharma,Rs 127,,
Scot's Expectorant,Scotman,Rs 95,Aminophylline,
Seizunil Tablet,Platinum,Rs 147,Carbamazepine,200mg
Safty Pins,Dawaai,Rs 40,,
Siroline,Le Mendoza,Rs 100,,
Saniplast Spot - Antiseptic First Aid Bandage 20 Pcs. Pack Pcs,Saniplast,Rs 65,,
SOIS'S Folic Acid 800 Mcg 100 Tablets,Sois Life Sciences,Rs 95,,
Surbex-T,Abbott Laboratories,Rs 168,Vitamin B complex plain and with Vitamin C,
Singular,OBS,"Rs 1,205",Montelukast,5mg
Singulair,OBS,"Rs 1,302",Montelukast,10mg
Sustac,Searle,Rs 320,Glyceryl Trinitrate,6.4mg
Systane,Alcon Pharma,Rs 999,Polyethylene Glycol and Propylene Glycol,
Spasmo-Cibalgin,Novartis,Rs 27,Hexahydroadiphenine,
Seroxat CR 12.5mg,GlaxoSmithKline,Rs 402,Paroxetine,
Sibelium,Aspin Pharma,Rs 145,Flunarizine,5mg
Seroxat CR Tablet 25mg,GlaxoSmithKline,Rs 663,Paroxetine,
Singulair 4mg,OBS,"Rs 1,530",Montelukast,
Seretide Diskus,GlaxoSmithKline,Rs 825,Salmeterol,50mg
Skinoren,Bayer,Rs 395,"Azelaic Acid, Topical",
Singular 4mg Granules (Paediatric),MSD,Rs 55,Montelukast,
Salbo,Getz Pharma,Rs 352,Salbutamol,100 mcg
Seretide Diskus,GlaxoSmithKline,Rs 940,Fluticasone,50
Sinemet Plus 25 mg /100 mg,OBS,Rs 150,Co-careldopa,
Stieprox,GlaxoSmithKline,Rs 300,"Ciclopirox Olamine, Topical",
Stilnox 10MG TABLET,Sanofi,Rs 514,Zolpidem,
SEACAL SACHETS,Wilson's,Rs 250,,
Sparaxin 100mg,Abbott Laboratories,Rs 678,,
Samerol-N,Sami,Rs 38,Orphenadrine and Paracetamol,
Sopral Plus,Bryon,Rs 274,Bisoprolol,10mg
Sugral,Rakahposhi,Rs 60,Glimepiride,2mg
Sugral,Rakahposhi,Rs 150,Glimepiride,3mg
Sugral,Rakahposhi,Rs 200,Glimepiride,4mg
Sunpride,Batala Pharma,Rs 75,Glimepiride,3mg
Sita,CCL,Rs 660,Sitagliptin,100 mg
Sita,CCL,Rs 446,Sitagliptin,50 mg
Segesic,Saydon,Rs 80,Buprenorphine,0.2mg
Segon,Saydon,Rs 20,Pentazocine,25mg
Sosegon,Sanofi,Rs 126,Pentazocine,
Soseno,Dosaco,Rs 109,Pentazocine,30mg
Sterelon,Hansel,Rs 110,Mesterolone,25mg
Sadmic,Zeb,Rs 28,Carbamazepine,200mg
Seizunil,Platinum,Rs 42,Carbamazepine,200mg
Seizunil,Platinum,Rs 33,Carbamazepine,400mg
Setril,Saydon,Rs 24,Clonazepam,0.5mg
Setril,Saydon,Rs 48,Clonazepam,2mg
Sportin,Avant,Rs 500,Lamotrigine,100mg
Sportin,Avant,Rs 300,Lamotrigine,25mg
Sportin,Avant,Rs 400,Lamotrigine,50mg
Syngab,Atco,Rs 211,Pregabalin.,200mg
Seziril,Medizan,Rs 850,Topiramate,25mg
Seziril,Medizan,"Rs 1,500",Topiramate,50mg
Skelwin,Wns Field,Rs 102,Tizanidine,2mg
Sothonum,Fynk,Rs 32,Suxamethonium,100mg
Suxal,Global Pharma,Rs 35,Suxamethonium,100mg
Suxam,Cirin,Rs 38,Suxamethonium,100mg
Suxamethonium inj,Goodman,Rs 39,Suxamethonium,100mg
Suxamethonium inj,Haji medicine,Rs 38,Suxamethonium,100mg
Suxinium,Mediceena,Rs 32,Suxamethonium,100mg
Sofvasc OLM,Wilson's,Rs 450,Olmesartan Medoxomil,5mg
Sofvasc OLM,Wilson's,Rs 675,Amlodipine,5mg
Sevia,Sami,Rs 125,Valsartan,80mg
Salmocal,S.J. & G. Fazul Ellahie,Rs 299,Salcatonin,100IU
Salmocal Nasal,S.J. & G. Fazul Ellahie,"Rs 2,801",Salcatonin,200IU
Solicep,Genome Pharma,Rs 683,Solifenacin Succinate,10mg
Solicep,Genome Pharma,Rs 410,Solifenacin Succinate,5mg
Sapzith,Sapient,Rs 150,Azithromycin,250mg
Simzith,Simz,Rs 255,Azithromycin,250mg
Spell,Tagma,Rs 140,Azithromycin,200mg
Spell,Tagma,Rs 150,Azithromycin,250mg
Syzcin,Sayyed,Rs 255,Azithromycin,250mg
Syzcin,Sayyed,Rs 153,Azithromycin,250mg
Syzcin,Sayyed,Rs 125,Azithromycin,500mg
Syzcin,Sayyed,Rs 238,Azithromycin,500mg
Syzcin,Sayyed,Rs 165,Azithromycin,200mg
Simulect,Novartis,"Rs 158,173",Basiliximab,20mg
Solium,Medicaids,Rs 373,Domperidone,10mg
Stardone,Star,Rs 28,Domperidone,10mg
Stomeze,Werick,Rs 29,Domperidone,10mg
Sevidon-V,Bloom Pharma,Rs 215,Domperidone Maleate,10mg
Santodex,Sante,Rs 230,Dexamethasone,0.1%|0.3%
Saydetron Ds,Saydon,Rs 25,Trimethoprim,160mg|800mg
Septazole,Irza,Rs 269,Trimethoprim,80mg|400mg
Siltran,Xenon,Rs 12,Trimethoprim,80mg|400mg
Siltran Ds,Xenon,Rs 13,Trimethoprim,160mg|800mg
Sulforin,Don Valley,Rs 245,Trimethoprim,160mg|800mg
Sapdis,Sapient,Rs 204,Clarithromycin,250mg
Silkocin,Hizat,Rs 270,Clarithromycin,250mg
Silkocin,Hizat,Rs 500,Clarithromycin,500mg
Stamentin,Stallion,Rs 105,Amoxicillin,125mg|31mg
Stavomox,Star,Rs 109,Amoxicillin,250mg|62mg
Stavomox,Star,Rs 120,Amoxicillin,500mg|125mg
Spersadexoline,Novartis,Rs 113,Dexamethasone,1mg
Saydetron,Saydon,Rs 13,Trimethoprim,80mg
Saydetron Ds,Saydon,Rs 25,Trimethoprim,160mg
Semozol,Semos,Rs 290,Trimethoprim,80mg
Semozol Ds,Semos,Rs 18,Trimethoprim,160mg
Tenormin,ICI Pakistan Limited,Rs 398,Atenolol,100mg
Tenormin,ICI Pakistan Limited,Rs 148,Atenolol,25mg
Tenormin,ICI Pakistan Limited,Rs 313,Atenolol,50mg
Tritace,Sanofi,Rs 502,Ramipril,2.5mg
Tritace,Sanofi,Rs 669,Ramipril,10mg
Thyroxine,GlaxoSmithKline,Rs 239,Levothyroxine,
Tiovair,Highnoon,Rs 233,Tiotropium,18mcg
Tres Orix Forte,Highnoon,Rs 179,Appetite Stimulant,
Tiovair-F,Highnoon,Rs 330,Tiotropium,18 mcg
Tenoret,ICI Pakistan Limited,Rs 261,Atenolol,50mg
Transamin,Hilton,Rs 167,Tranexamic Acid,250mg
Transamin,Hilton,Rs 336,Tranexamic Acid,500mg
Tarivid 200mg,Sanofi,Rs 392,Ofloxacin,
Travatan,Novartis,"Rs 1,405",Travoprost,40 micrograms
Telfast,Sanofi,Rs 539,Fexofenadine,180mg
Treatan,Pharm Evo,Rs 305,Candesartan Cilexetil,8 mg
Tryptanol,OBS,Rs 26,Amitriptyline,25mg
Tamsol-D,Global Pharma,"Rs 2,117",Tamsulosin HCl,0.4mg
Travocort Cream,Bayer,Rs 210,Diflucortolone,0.1
Treatan 4mg,Pharm Evo,Rs 285,Candesartan Cilexetil,
Trimelasin,Valor-Al Hameed,Rs 405,Hydroquinone,30gm
Torex-IR,Platinum,Rs 152,Naproxen,550mg
Tearkool,Kobec Health Sciences,Rs 244,Hypromellose,0.3%
Terbiderm Forte 250mg,Atco,Rs 675,Terbinafine,
Tricardin,Trigen Pharmaceutical,Rs 433,,
Tansin,Pharm Evo,Rs 201,Losartan Potassium,50mg
T-day,GlaxoSmithKline,Rs 124,Levocetirizine,2.5mg
Tamsolin,Getz Pharma,Rs 704,Tamsulosin HCl,0.4 mg
Tanakan 40mg,Atco,Rs 370,Ginko Biloba containing preps,
The Vitamin Company Super Ginseng,The Vitamin Company,"Rs 2,500",,
The Vitamin Company Folic Acid,The Vitamin Company,Rs 750,,
Tanzo,Bosch,"Rs 1,106",Piperacillin,4.5gm
Transamin,Hilton,Rs 83,Tranexamic Acid,250mg
Transamin,Hilton,Rs 152,Tranexamic Acid,500mg
Tanzo,Bosch,Rs 537,Piperacillin,2.25gm
Telfast D,Sanofi,Rs 223,Fexofenadine,60mg
Telsarta 40mg Tablet,Pharm Evo,Rs 250,Telmisartan,
Tobrex 0.3% 5ml Eye Drop,Alcon Pharma,Rs 298,Tobramycin,
TRAVOGEN ( Isoconazole nitrate ) 10GM CREAM,Bayer,Rs 147,Isoconazole,
Treatan,Pharm Evo,Rs 473,Candesartan Cilexetil,16mg
Tenofo-B,Getz Pharma,"Rs 4,000",Tenofovir Disoproxil,300 mg
Tibol,Aspin Pharma,"Rs 1,155",Tibolone,2.5 mg
Triforge,Highnoon,Rs 98,Amlodipine,10mg
Teph,Sami,Rs 196,Omeprazole,40mg
Tagip,Highnoon,Rs 294,Sitagliptin,100mg
Tagip,Highnoon,Rs 126,Sitagliptin,25mg
Tagip,Highnoon,Rs 210,Sitagliptin,50mg
Trevia,Getz Pharma,Rs 383,Sitagliptin,100 mg
Trevia,Getz Pharma,Rs 250,Sitagliptin,50 mg
TagipMet,Highnoon,Rs 360,Sitagliptin,50mg
TagipMet,Highnoon,Rs 224,Sitagliptin,50mg
TreviaMet,Getz Pharma,Rs 269,Sitagliptin,50 mg
TreviaMet,Getz Pharma,Rs 262,Sitagliptin,50 mg
Tamadol,Highnoon,Rs 33,Tramadol,100mg
Tonoflex Sr,Sami,Rs 364,Tramadol,100mg
Tradol,Pharmadic,Rs 90,Tramadol,50mg
Tramagesic,Popular,Rs 44,Tramadol,100mg
Tramal,Searle,Rs 92,Tramadol,100mg
Tramal,Searle,Rs 355,Tramadol,100mg
Tramapar,Efroze,Rs 200,Tramadol,37.5mg
Telox,Platinum,Rs 96,Oxcarbazepine,150mg
Telox,Platinum,Rs 129,Oxcarbazepine,300mg
Telox,Platinum,Rs 319,Oxcarbazepine,600mg
Trioptal,Novartis,Rs 581,Oxcarbazepine,600mg
Tics-G,Genix,"Rs 1,200",Topiramate,50mg
Tomax,Schazoo Pharmaceuticals,Rs 250,Topiramate,100mg
Tomax,Schazoo Pharmaceuticals,Rs 150,Topiramate,25mg
Tomax,Schazoo Pharmaceuticals,Rs 250,Topiramate,50mg
Topagen,Genetics Pharmaceuticals,Rs 291,Topiramate,25mg
Topagen,Genetics Pharmaceuticals,Rs 355,Topiramate,50mg
Topilep,Cellande Gene,Rs 308,Topiramate,50mg
Topirama,Platinum,Rs 240,Topiramate,100mg
Topirama,Platinum,Rs 241,Topiramate,25mg
Topirama,Platinum,Rs 320,Topiramate,50mg
Topiro,Adamjee Pharmaceuticals,Rs 390,Topiramate,100mg
Topiro,Adamjee Pharmaceuticals,Rs 213,Topiramate,25mg
Topiro,Adamjee Pharmaceuticals,Rs 322,Topiramate,50mg
Torate,CCL,Rs 277,Topiramate,25mg
Torate,CCL,Rs 373,Topiramate,50mg
Terlax,Barrett,Rs 180,Tizanidine,2mg
Terlax,Barrett,Rs 280,Tizanidine,4mg
Ternelin,Novartis,Rs 274,Tizanidine,2mg
Thiolax,S.J. & G. Fazul Ellahie,Rs 266,Thiocolchicoside,4mg
Tasmi,Getz Pharma,Rs 135,Telmisartan,20 mg
Tasmi,Getz Pharma,Rs 207,Telmisartan,40 mg
Tasmi,Getz Pharma,Rs 273,Telmisartan,80 mg
Telsan,Hilton,Rs 260,Telmisartan,20mg
Telsan,Hilton,Rs 234,Telmisartan,40mg
Telsan,Hilton,Rs 305,Telmisartan,80mg
Telsarta,Pharm Evo,Rs 160,Telmisartan,20mg
Telsarta,Pharm Evo,Rs 182,Telmisartan,80mg
Telsitan,Macter,Rs 400,Telmisartan,40mg
Telsitan,Macter,Rs 300,Telmisartan,80mg
Telsitan,Macter,Rs 600,Telmisartan,80mg
Telmis H,Genix,Rs 364,Telmisartan,40mg
Telsarta D,Pharm Evo,Rs 207,Telmisartan,40mg
Telsarta D,Pharm Evo,Rs 280,Telmisartan,80mg
Telsitan-H,Macter,Rs 295,Telmisartan,40mg
Treatan D,Pharm Evo,Rs 406,Candesartan Cilexetil,16mg
Tyloric,Titlis Pharma,Rs 350,Febuxostat,40mg
Toldex,Icon,Rs 275,Tolterodine,2mg
Toldin,Sante,Rs 379,Tolterodine,2mg
Tolodin,Valor,Rs 195,Tolterodine,1mg
Tolodin,Valor,Rs 466,Tolterodine,2mg
Tobra-D,Schazoo Pharmaceuticals,Rs 225,Dexamethasone,0.1%
Tobracin-D,Helix Pharma,Rs 217,Dexamethasone,0.1%
Tobradex,Novartis,Rs 600,Dexamethasone,0.1%
Tobradex,Novartis,Rs 642,Dexamethasone,0.1%
Tobrasone,Himont,Rs 155,Dexamethasone,0.1%
Tobra 0.3%,Ophth Pharma,Rs 119,Dexamethasone,0.1%
Timequin,Sami,Rs 35,Dihydroartemisinin,15mg
Tretiderm,Derma Techno,Rs 120,Isotretinoin Topical,0.05%
Trutil,Pharmix,Rs 130,Esomeprazole,40mg
Toposide,Pharmadic,Rs 669,Etoposide,100mg
Technozole,Derma Techno,Rs 159,Fluconazole,150mg
Triazolin,Mass-PH Health,Rs 300,Fluconazole,150mg
Tarisin,Sante,Rs 365,Flunisolide,0.025%
Top Gel MCA,Valor,Rs 148,Fluocinolone,0.00025
Ticovate,Saffron,Rs 182,Fluticasone Propionate,0.05%
Ticovate,Saffron,Rs 380,Fluticasone Propionate,0.05%
Tavanic,Sanofi,"Rs 1,378",Levofloxacin,500mg
Tavanic,Sanofi,Rs 871,Levofloxacin,250mg
Tavanic,Sanofi,Rs 904,Levofloxacin,500mg
Trimzak,Schazoo Pharmaceuticals,Rs 280,Orlistat,120mg
Trupril,Scilife,Rs 184,Lisinopril dihydrate,10mg
Telsarta-A,Pharm Evo,Rs 180,Amlodipine,10mg
Teph,Sami,Rs 158,Omeprazole,20mg
Teph,Sami,Rs 375,Omeprazole,40mg
Triforge,Highnoon,Rs 91,Valsartan+Amlodipine+Hydrochlorothiazide,10mg
Toradol,Martin Dow,Rs 78,Ketorolac Trometamol,10mg
Toradol,Martin Dow,Rs 155,Ketorolac tromethamine,30mg
Torapan,Valor,Rs 96,Ketorolac Trometamol,30mg
Tromit,Stand Pharm,Rs 130,Ketorolac Trometamol,30mg
Tyladol,Bryon,Rs 534,Paracetamol,500mg
Terbiderm 1%,Atco,Rs 257,Terbinafine,10mg
Tycef,Helix Pharma,Rs 394,Cefixime,400mg
Tycef,Helix Pharma,Rs 215,Cefixime,100mg
Tycef,Helix Pharma,Rs 200,Cefixime,100mg
Tycef,Helix Pharma,Rs 285,Cefixime,200mg
Tysen,Himont,Rs 234,Cefixime,200mg
Tysen,Himont,Rs 448,Cefixime,400mg
Tysen,Himont,Rs 234,Cefixime,100mg
Tysen,Himont,Rs 300,Cefixime,200mg
Toxirid,Global-Vision,Rs 250,Cefoperazone,5oomg
Toxirid,Global-Vision,Rs 350,Cefoperazone,1000mg
Taxomic,Linz,Rs 150,Cefotaxime,1gm
Tizid,Stand Pharm,Rs 192,Ceftazidime,250mg
Tizid,Stand Pharm,Rs 209,Ceftazidime,500mg
Tezox,Bosch,Rs 300,Ceftizoxime,1gm
Tezox,Bosch,Rs 180,Ceftizoxime,500mg
Tefno,Searle,Rs 430,Ceftriaxone,1gm
Tefno,Searle,Rs 162,Ceftriaxone,250mg
Tavist,Macter,Rs 173,Atorvastatin calcium trihydrate,10mg
Terbiderm Tab 125mg 1x10's,Atco,Rs 402,Terbinafine,
Tefno,Searle,Rs 264,Ceftriaxone,500mg
Titan,Macter,Rs 390,Ceftriaxone,1gm
Titan,Macter,Rs 141,Ceftriaxone,250mg
Titan,Macter,Rs 540,Ceftriaxone,2gm
Titan,Macter,Rs 230,Ceftriaxone,500mg
Traxon,Akhai,Rs 481,Ceftriaxone,1gm
Triax,Wilshire,Rs 210,Ceftriaxone,500mg
Triax,Wilshire,Rs 340,Ceftriaxone,1gm
Triject,Nabi Qasim,Rs 210,Ceftriaxone,1gm
Triject,Nabi Qasim,Rs 102,Ceftriaxone,250mg
Triject,Nabi Qasim,Rs 140,Ceftriaxone,500mg
Total-One Plus Tablets,Martindale Health Care,Rs 900,,
Tercica,Sami,Rs 157,Dexibuprofen,300mg
Tercica,Sami,Rs 582,Dexibuprofen,400mg
Tablet Xylor 10 mg,Atco,Rs 246,Loratadine,
Tab Suprimun 500mg,Allmed Labs,"Rs 1,200",,
Terbimax,Maxitech Pharma,Rs 575,"Terbinafine,Oral",250mg
Treviamet XR,Getz Pharma,Rs 330,Sitagliptin,50 mg
Triton Oint 0.1% 15g,Pharma Health,Rs 170,"Triamcinolone, Topical",
Typbar,Amson,Rs 599,Typhoid vaccine,
Triforge,Highnoon,Rs 86,,
Terbisil 250 mg,Saffron,Rs 575,Terbinafine,
Terbisil 1 %,Saffron,Rs 254,"Terbinafine,Oral",
TagipMet XR,Highnoon,Rs 360,Sitagliptin,50mg
Tinostol,Bristol Mayer Biotech Pakistan,"Rs 3,300",,
Tracrium 50mg,GlaxoSmithKline,"Rs 1,225",Atracurium Besylate,
Tracetol,Aspin Pharma,Rs 130,Tramadol and Paracetamol,37.5
Tradol 100mg,Pharmadic,Rs 195,Tramadol,
Tinostol Sachet 10's,Bristol Mayer Biotech Pakistan,Rs 270,,
Tygacil,Pfizer,"Rs 5,655",Tigecycline,50mg
Telsarta A 5/80mg,Pharm Evo,Rs 287,Amlodipine,5mg
Terbisil 125mg,Saffron,Rs 400,Terbinafine,
TagipMet XR,Highnoon,Rs 294,Sitagliptin,100mg
Tepride 50mg,Shaigan,Rs 240,Itopride,
TagipMet XR,Highnoon,Rs 259,Metformin,50mg
Telsarta A,Pharm Evo,Rs 207,Amlodipine,5 mg
Tamsolin Plus,Getz Pharma,"Rs 1,210",Dutasteride,0.4mg
Treviamet XR,Getz Pharma,Rs 335,Metformin,50 mg
Triforge,Highnoon,Rs 93,Amlodipine,10mg
Toujeo,Sanofi,"Rs 3,040",Insulin Glargine,300IU
Tariflox 200mg,Bosch,Rs 150,,
Trimetabol 150ml,Sami,Rs 191,Metopine,
Ticon,Amarant,Rs 142,Ketoprofen,0.25
Treviamet,Getz Pharma,Rs 260,Metformin,50 mg
Ticovate,Saffron,Rs 448,,
Tormax gel 10% 25gm,Platinum,Rs 232,,
Tears Forte,Sante,Rs 233,Dextran,0.1%
Traxacid,Asian Continental,Rs 99,Tranexamic Acid,250mg
Trulicity,Eli Lilly,"Rs 7,297",Dulaglutide,1.5 mg
Triforge,Highnoon,Rs 84,Amlodipine,5mg
Terbiderm,Atco,Rs 361,Terbinafine,1% w
Tobrex,Alcon Pharma,Rs 437,Tobramycin,0.3 %
Tramagesic,PCW,Rs 138,Tramadol,50 mg
